dataset;Altitude (m);Exposure time (sec);NSB (mpsas);Is;Rs;Gs;Bs
A1;70;0.16;14.17;-1.455653998;-1.243167974;-1.496825278;-2.883573671
A1;70;0.16;14.15;-1.253554623;-1.041240505;-1.29425653;-2.784095673
A1;70;0.16;15.89;-1.734108618;-1.51687968;-1.780016923;-2.817938315
A1;70;0.16;14.33;-1.586857807;-1.404538771;-1.613596496;-2.846712269
A1;70;0.16;14.29;-1.487973673;-1.304777485;-1.514620456;-2.845205378
A1;70;0.16;14.22;-1.474494457;-1.304796303;-1.496848784;-2.526263905
A1;70;0.16;14.12;-1.62068571;-1.461582527;-1.640290453;-2.493918096
A1;70;0.16;14.57;-1.923422309;-1.768693673;-1.94900768;-2.437392749
A1;70;0.16;14.83;-1.852190462;-1.636851522;-1.904409974;-2.486064576
A1;70;0.16;14.55;-1.45616712;-1.223739698;-1.509325339;-2.699263325
A1;70;0.16;14.24;-1.45616712;-1.223739698;-1.509325339;-2.699263325
A1;70;0.16;13.92;-1.310949543;-1.088686129;-1.357395601;-2.744814474
A1;70;0.16;14.09;-1.731145276;-1.514601477;-1.775804867;-2.922238962
A1;70;0.16;17.25;-2.848572072;-2.616956521;-2.946170337;-2.884571172
A2;100;0.16;16;-2.498737482;-2.2475031;-2.579607428;-2.922311458
A2;100;0.16;15.13;-1.948946005;-1.716281204;-2.004861244;-2.907791754
A2;100;0.16;14.02;-1.573089545;-1.346318602;-1.622665161;-2.878091511
A2;100;0.16;14.21;-1.428784175;-1.205147643;-1.476169751;-2.821101604
A2;100;0.16;14.14;-1.339724228;-1.115934268;-1.386967072;-2.78518678
A2;100;0.16;14.41;-1.321056921;-1.096764682;-1.368552842;-2.772929139
A2;100;0.16;14.52;-1.362386157;-1.135785492;-1.411476701;-2.743294011
A2;100;0.16;14.69;-1.52632419;-1.300399312;-1.576110053;-2.723561974
A2;100;0.16;14.39;-1.7464398;-1.525764037;-1.795550904;-2.70777498
A2;100;0.16;14.72;-1.781468314;-1.57773259;-1.821682609;-2.727181326
A2;100;0.16;14.66;-1.678565158;-1.481977101;-1.713552247;-2.77168726
A2;100;0.16;14.46;-1.698488999;-1.518197656;-1.727948706;-2.570946139
A2;100;0.16;15.02;-1.8071729;-1.603319471;-1.850284749;-2.571183561
A2;100;0.16;14.74;-1.521639443;-1.29716235;-1.571062518;-2.660663249
A2;100;0.16;14.21;-1.368416584;-1.146348549;-1.414968868;-2.753347362
A2;100;0.16;14.69;-1.373179806;-1.152285802;-1.418777526;-2.830721997
A2;100;0.16;14.65;-1.641817028;-1.424507805;-1.686358591;-2.914196507
A2;100;0.16;16.12;-2.418983464;-2.183046616;-2.486259785;-2.946074247
A2;100;0.16;16.656;-2.798994418;-2.548413051;-2.899192077;-2.927719632
B1;70;0.16;15.63;-2.323187319;-1.454324503;-2.388086802;-1.269634714
B1;70;0.16;14.97;-1.86244466;-1.1556211;-1.912587212;-1.227767775
B1;70;0.16;14.28;-1.462529103;-0.93823061;-1.50854633;-1.218354251
B1;70;0.16;14.42;-1.335795852;-0.884963927;-1.382713443;-1.172400866
B1;70;0.16;14.51;-1.337963265;-0.831459094;-1.38678318;-1.128096711
B1;70;0.16;14.65;-1.414496758;-0.876181031;-1.463651129;-1.137771193
B1;70;0.16;14.83;-1.441179077;-0.997763131;-1.488517911;-1.165821531
B1;70;0.16;15.49;-1.496830037;-1.093761514;-1.539982145;-1.161438505
B1;70;0.16;15.82;-1.725439698;-1.256838604;-1.769183766;-1.204183453
B1;70;0.16;16.34;-2.274955327;-1.608353736;-2.332588019;-1.254117464
B1;70;0.16;14.45;-1.782642422;-1.139087175;-1.820184193;-1.24594302
B1;70;0.16;13.93;-1.370734038;-0.931888285;-1.403303227;-1.20273864
B1;70;0.16;14.41;-1.448837893;-1.009331931;-1.480417057;-1.107010075
B1;70;0.16;14.38;-1.562702373;-1.06246177;-1.594700092;-1.111874761
B1;70;0.16;14.86;-1.901752282;-1.187740778;-1.940469354;-1.134000529
B1;70;0.16;16.06;-2.178052539;-1.548348339;-2.23165508;-1.104565436
B1;70;0.16;15.44;-1.541681336;-1.073772515;-1.586433983;-1.132716739
B1;70;0.16;14.43;-1.367343567;-0.903903622;-1.411715649;-1.163414735
B1;70;0.16;14.35;-1.270332504;-0.772261893;-1.314354158;-1.158035053
B1;70;0.16;14.25;-1.228774792;-0.818921614;-1.271153049;-1.201531083
B1;70;0.16;14.14;-1.365205461;-0.925115069;-1.40748113;-1.234635546
B1;70;0.16;14.88;-1.801914674;-1.172931722;-1.848578091;-1.252846899
B1;70;0.16;15.61;-2.484151428;-1.656866218;-2.563941314;-1.317660832
B2;100;0.16;15.8;-1.544344391;-1.274597916;-1.622453408;-2.56361655
B2;100;0.16;15.41;-2.289225179;-2.010590544;-2.379280903;-2.972919157
